id,name,stats_name,seed,region,conference,overall_record,source_note
duke,Duke,Duke,1,East,ACC,32-2,NCAA/Yahoo 2026 bracket
uconn,UConn,Connecticut,2,East,Big East,29-5,NCAA/Yahoo 2026 bracket
michigan-state,Michigan State,Michigan State,3,East,Big Ten,25-7,NCAA/Yahoo 2026 bracket
kansas,Kansas,Kansas,4,East,Big 12,23-10,NCAA/Yahoo 2026 bracket
st-johns,St. John's,St. John's,5,East,Big East,28-6,NCAA/Yahoo 2026 bracket
louisville,Louisville,Louisville,6,East,ACC,23-10,NCAA/Yahoo 2026 bracket
ucla,UCLA,UCLA,7,East,Big Ten,23-11,NCAA/Yahoo 2026 bracket
ohio-state,Ohio State,Ohio State,8,East,Big Ten,21-12,NCAA/Yahoo 2026 bracket
tcu,TCU,TCU,9,East,Big 12,22-11,NCAA/Yahoo 2026 bracket
ucf,UCF,UCF,10,East,Big 12,21-11,NCAA/Yahoo 2026 bracket
south-florida,South Florida,USF,11,East,American,25-8,NCAA/Yahoo 2026 bracket
northern-iowa,Northern Iowa,Northern Iowa,12,East,MVC,23-12,NCAA/Yahoo 2026 bracket
cal-baptist,Cal Baptist,California Baptist,13,East,WAC,25-8,NCAA/Yahoo 2026 bracket
north-dakota-state,North Dakota State,North Dakota State,14,East,Summit,27-7,NCAA/Yahoo 2026 bracket
furman,Furman,Furman,15,East,SoCon,22-12,NCAA/Yahoo 2026 bracket
siena,Siena,Siena,16,East,MAAC,23-11,NCAA/Yahoo 2026 bracket
arizona,Arizona,Arizona,1,West,Big 12,32-2,NCAA/Yahoo 2026 bracket
purdue,Purdue,Purdue,2,West,Big Ten,27-8,NCAA/Yahoo 2026 bracket
gonzaga,Gonzaga,Gonzaga,3,West,WCC,30-3,NCAA/Yahoo 2026 bracket
arkansas,Arkansas,Arkansas,4,West,SEC,26-8,NCAA/Yahoo 2026 bracket
wisconsin,Wisconsin,Wisconsin,5,West,Big Ten,24-10,NCAA/Yahoo 2026 bracket
byu,BYU,BYU,6,West,Big 12,23-11,NCAA/Yahoo 2026 bracket
miami-fl,Miami (Fla.),Miami,7,West,ACC,25-8,NCAA/Yahoo 2026 bracket
villanova,Villanova,Villanova,8,West,Big East,24-8,NCAA/Yahoo 2026 bracket
utah-state,Utah State,Utah State,9,West,Mountain West,28-6,NCAA/Yahoo 2026 bracket
missouri,Missouri,Missouri,10,West,SEC,20-12,NCAA/Yahoo 2026 bracket
texas,Texas,Texas,11,West,SEC,20-15,First Four winner replacing Texas/NC State slot
high-point,High Point,High Point,12,West,Big South,30-4,NCAA/Yahoo 2026 bracket
hawaii,Hawai'i,Hawaii,13,West,Big West,24-8,NCAA/Yahoo 2026 bracket
kennesaw-state,Kennesaw State,Kennesaw State,14,West,C-USA,21-13,NCAA/Yahoo 2026 bracket
queens,Queens,Queens-Charlotte,15,West,ASUN,21-13,NCAA/Yahoo 2026 bracket
liu,LIU,Long Island,16,West,NEC,24-10,NCAA/Yahoo 2026 bracket
michigan,Michigan,Michigan,1,Midwest,Big Ten,31-3,NCAA/Yahoo 2026 bracket
